method;corpus;K;iteration;intra;inter;ratio
BTM_S;LOVTAGS;10;0;0.5266834192949952;0.719047929939074;0.7324733127868428
BTM_S;LOVTAGS;10;1;0.49110455868676095;0.7067742636053713;0.6948534828950281
BTM_S;LOVTAGS;10;2;0.5141138671689978;0.705868851294301;0.7283419097277123
BTM_S;LOVTAGS;10;3;0.4973119240688735;0.6977752839455198;0.7127107186383261
BTM_S;LOVTAGS;10;4;0.5261590186458027;0.7238646914801705;0.7268748218260295
BTM_S;LOVTAGS;10;5;0.5248230897232449;0.7374683386429015;0.7116550802560974
BTM_S;LOVTAGS;10;6;0.5248581674292212;0.7092068619013586;0.7400635775323647
BTM_S;LOVTAGS;10;7;0.5281280805185358;0.7341615211951464;0.719362245597934
BTM_S;LOVTAGS;10;8;0.5408699592959346;0.7386303888070496;0.7322606373797933
BTM_S;LOVTAGS;10;9;0.5176689523689928;0.7327890683725496;0.7064365104663517
BTM_S;LOVTAGS;20;0;0.6870899262557953;0.9336633271882235;0.7359075870795986
BTM_S;LOVTAGS;20;1;0.6759794720195065;0.90885933307515;0.7437668816496738
BTM_S;LOVTAGS;20;2;0.6628853340556647;0.9239969423526766;0.7174107442042279
BTM_S;LOVTAGS;20;3;0.6433462132400385;0.880996740871564;0.7302481194238931
BTM_S;LOVTAGS;20;4;0.6714452481785959;0.9050524917946968;0.7418854202004753
BTM_S;LOVTAGS;20;5;0.6574438351192482;0.8899477426461064;0.7387443145419439
BTM_S;LOVTAGS;20;6;0.6385495304784936;0.8593974958136633;0.7430200036525886
BTM_S;LOVTAGS;20;7;0.6632593724005718;0.9216577543097685;0.719637380903162
BTM_S;LOVTAGS;20;8;0.6575521477507501;0.922812317489397;0.7125524175269857
BTM_S;LOVTAGS;20;9;0.6807695264602472;0.9291451877041952;0.7326836919236982
BTM_S;LOVTAGS;30;0;0.707263309016215;0.9772158773161008;0.7237533951645323
BTM_S;LOVTAGS;30;1;0.7370779950449755;0.9855518488650905;0.747883529307723
BTM_S;LOVTAGS;30;2;0.7350820593055235;0.9954310777682545;0.7384560073747842
BTM_S;LOVTAGS;30;3;0.7236541247918193;0.9803693711080571;0.7381443628475595
BTM_S;LOVTAGS;30;4;0.7396262104147092;0.9970677784391397;0.7418013362868444
BTM_S;LOVTAGS;30;5;0.7256138681042041;0.9886664905233628;0.7339318921591967
BTM_S;LOVTAGS;30;6;0.7303351786809176;0.9905197402717892;0.7373252132062714
BTM_S;LOVTAGS;30;7;0.7164678944480822;0.9787581735939691;0.7320172784021152
BTM_S;LOVTAGS;30;8;0.7476156118016543;1.0055543984530408;0.7434859943448079
BTM_S;LOVTAGS;30;9;0.7452813486696523;0.9971656685967069;0.7473997271872318
BTM_S;LOVTAGS;40;0;0.7828155198191639;1.0423295620814441;0.7510249620628119
BTM_S;LOVTAGS;40;1;0.7671808186659835;1.0372195405355622;0.7396513357913159
BTM_S;LOVTAGS;40;2;0.7633450953976829;1.0349992330389268;0.7375320396676788
BTM_S;LOVTAGS;40;3;0.7547830007194992;1.0159529065511805;0.7429310904594332
BTM_S;LOVTAGS;40;4;0.7637118380696193;1.0284523668389745;0.7425835777080712
BTM_S;LOVTAGS;40;5;0.7659403741816797;1.0441719467924506;0.733538548449363
BTM_S;LOVTAGS;40;6;0.7606755304807921;1.040000364772836;0.7314185227684454
BTM_S;LOVTAGS;40;7;0.7767328249231854;1.0419578020828306;0.7454551646626462
