method;K;iterations;repetition;T;score
LDA_S;10;200;0;5;-17.614741119792875
LDA_S;10;200;0;10;-80.4700576294857
LDA_S;10;200;0;15;-200.5741162324999
LDA_S;10;200;0;20;-354.9799169101326
LDA_S;10;200;1;5;-16.397523483661708
LDA_S;10;200;1;10;-78.55624415034217
LDA_S;10;200;1;15;-191.47917915511917
LDA_S;10;200;1;20;-343.7572956465419
LDA_S;10;200;2;5;-16.915528948742523
LDA_S;10;200;2;10;-83.81391451003586
LDA_S;10;200;2;15;-202.57286507275643
LDA_S;10;200;2;20;-356.69275585501674
LDA_S;10;200;3;5;-16.45568379725554
LDA_S;10;200;3;10;-84.95475154362626
LDA_S;10;200;3;15;-202.69875506962177
LDA_S;10;200;3;20;-363.1615077130765
LDA_S;10;200;4;5;-17.972551163264257
LDA_S;10;200;4;10;-83.3050589825613
LDA_S;10;200;4;15;-197.67565541080222
LDA_S;10;200;4;20;-360.05938549258997
LDA_S;10;200;5;5;-17.62146300454898
LDA_S;10;200;5;10;-80.2593827746053
LDA_S;10;200;5;15;-194.77451397375336
LDA_S;10;200;5;20;-343.8247630542455
LDA_S;10;200;6;5;-15.206893370991068
LDA_S;10;200;6;10;-82.57649044073017
LDA_S;10;200;6;15;-198.87539464211525
LDA_S;10;200;6;20;-356.30795586018235
LDA_S;10;200;7;5;-16.44643191356476
LDA_S;10;200;7;10;-81.42905550519617
LDA_S;10;200;7;15;-196.44588941172245
LDA_S;10;200;7;20;-356.8701538581421
LDA_S;10;200;8;5;-18.90867183521895
LDA_S;10;200;8;10;-92.15173857543004
LDA_S;10;200;8;15;-205.6928744150279
LDA_S;10;200;8;20;-364.34941410722234
LDA_S;10;200;9;5;-18.428786139865135
LDA_S;10;200;9;10;-84.31728734245219
LDA_S;10;200;9;15;-201.93245640131906
LDA_S;10;200;9;20;-369.7961515650564
LDA_S;10;200;9;20;-370.03762355597803
LDA;10;200;0;5;-12.317441438827528
LDA;10;200;0;10;-60.42751814871389
LDA;10;200;0;15;-146.55983594519054
LDA;10;200;0;20;-268.3151187694183
LDA;10;200;1;5;-16.21708475687614
LDA;10;200;1;10;-66.36031710677346
LDA;10;200;1;15;-160.90497491199483
LDA;10;200;1;20;-288.26894792780655
LDA;10;200;2;5;-14.151165635028908
LDA;10;200;2;10;-61.92372602191792
LDA;10;200;2;15;-152.59599808927857
LDA;10;200;2;20;-279.29288469200435
LDA;10;200;3;5;-14.332419475809072
LDA;10;200;3;10;-62.27573772308544
LDA;10;200;3;15;-151.25572800447418
LDA;10;200;3;20;-283.975348030265
LDA;10;200;4;5;-11.97781244547073
LDA;10;200;4;10;-62.08372219547734
LDA;10;200;4;15;-151.45679926598746
LDA;10;200;4;20;-270.71197959043764
LDA;10;200;5;5;-12.99072980729068
